t (s)	ag (m/s^2)
8.72	-0.0000182
8.74	0.000055
8.76	0.0000051
8.78	0.0000359
8.8	-0.0000633
8.82	-0.0000802
8.84	0.0000571
8.86	-0.0000178
8.88	0.0000726
8.9	-0.0000258
8.92	0.0000348
8.94	0.000023
8.96	-0.000151
8.98	0.0000773
9	0.0000605
9.02	-0.0001513
9.04	0.0000748
9.06	0.0000212
9.08	-0.0000718
9.1	0.0001466
9.12	-0.0000858
9.14	-0.0000009
9.16	-0.0000589
9.18	0.0000635
9.2	0.0000168
9.22	-0.0000125
9.24	0.000029
9.26	-0.0000232
9.28	-0.0000425
9.3	0.0000768
9.32	-0.0001089
9.34	0.0000124
9.36	0.0000535
9.38	0.0000256
9.4	-0.0000573
9.42	0.0000397
9.44	-0.000087
9.46	0.0001265
9.48	0.0000832
9.5	-0.0002893
9.52	0.0003302
9.54	-0.0004068
9.56	0.0000082
9.58	0.0004645
9.6	-0.0004508
9.62	0.0003387
9.64	0.0001208
9.66	0.0002089
9.68	-0.0013283
9.7	0.000706
9.72	0.0005248
9.74	-0.0006409
9.76	0.0003331
9.78	-0.000258
9.8	0.0002301
9.82	-0.000247
9.84	0.0002729
9.86	-0.0001447
9.88	0.0001616
9.9	-0.0000543
9.92	-0.0000946
9.94	0.0004462
9.96	-0.000615
9.98	-0.0000958
10	0.0006382
10.02	-0.0004026
10.04	0.0000402
10.06	0.0005363
10.08	-0.0007148
10.1	0.0000967
10.12	0.0000208
10.14	0.0002601
10.16	0.0000073
10.18	-0.0000428
10.2	-0.0004128
10.22	0.0002532
10.24	0.0001325
10.26	0.0001775
10.28	-0.0002347
10.3	-0.0002442
10.32	0.0002661
10.34	0.0001591
10.36	-0.0000441
10.38	-0.0002067
10.4	-0.0001515
10.42	0.0002669
10.44	-0.0000349
10.46	0.0000162
10.48	-0.0002152
10.5	0.0003319
10.52	-0.0000473
10.54	-0.0002058
10.56	-0.0000113
10.58	-0.0000115
10.6	0.0001861
10.62	-0.0000132
10.64	-0.0001864
10.66	0.0003177
10.68	-0.0002243
10.7	0.0000316
10.72	0.0000494
10.74	-0.0000603
10.76	-0.0000208
10.78	0.000077
10.8	-0.000051
10.82	-0.0000579
10.84	0.0001156
10.86	0.0000487
10.88	-0.0002056
10.9	0.0000729
10.92	0.0001268
10.94	-0.0000117
10.96	-0.0001103
10.98	0.0000301
11	0.0000966
11.02	0.0000169
11.04	-0.0001095
11.06	-0.0000424
11.08	0.0000734
11.1	0.0000484
11.12	-0.0001788
11.14	0.0001326
11.16	0.0000664
11.18	-0.0000527
11.2	0.0000442
11.22	-0.0000366
11.24	-0.0000813
11.26	0.0000346
11.28	-0.0000563
11.3	0.0000937
11.32	-0.000008
11.34	0.0000468
11.36	-0.0000407
11.38	-0.0000519
11.4	0.000007
11.42	0.0001009
11.44	-0.0000569
11.46	0.000038
11.48	-0.0000349
11.5	0.0000411
11.52	-0.000117
11.54	0.0001871
11.56	-0.0001264
11.58	0.0001355
11.6	-0.0001932
11.62	0.0000805
11.64	-0.0000452
11.66	0.0000162
11.68	0.0001092
11.7	-0.00005
11.72	0.0000684
11.74	0.0000017
11.76	-0.0000872
11.78	0.000062
11.8	-0.0000068
11.82	0.0000264
11.84	-0.0000004
11.86	0.0000342
11.88	-0.0000598
11.9	0.0000285
11.92	0.0000305
11.94	0.0000307
11.96	-0.0000201
11.98	0.0000199
12	-0.000155
12.02	0.0001036
12.04	-0.0000192
12.06	0.0000753
12.08	-0.0000156
12.1	-0.0000143
12.12	-0.0000682
12.14	0.0000499
12.16	0.0000154
12.18	0.0000609
12.2	-0.0000349
12.22	0.0000102
12.24	-0.0000809
12.26	0.0000982
12.28	-0.0000263
12.3	0.0000187
12.32	-0.0000539
12.34	0.0001092
12.36	-0.0000629
12.38	0.0000192
12.4	-0.0000703
12.42	0.0000798
12.44	-0.0000359
12.46	0.0000632
12.48	0.0000151
12.5	-0.0000198
12.52	-0.0000077
12.54	0.0000167
12.56	-0.0000934
12.58	0.000118
12.6	-0.0000344
12.62	0.0000212
12.64	-0.0000441
12.66	0.0000708
12.68	-0.0000661
12.7	0.0000504
12.72	-0.0000374
12.74	0.000109
12.76	-0.000035
12.78	-0.0000229
12.8	-0.0001031
12.82	0.0000821
12.84	0.0000038
12.86	0.0000528
12.88	-0.000084
12.9	0.0000818
12.92	-0.0000117
12.94	0.0000104
12.96	-0.0000458
12.98	0.0000438
13	-0.0000574
13.02	0.0000567
13.04	-0.000061
13.06	0.0000542
13.08	-0.0000175
13.1	0.0000254
13.12	-0.0000678
13.14	0.000082
13.16	-0.000075
13.18	0.0000316
13.2	-0.0000124
13.22	0.0000668
13.24	-0.0000556
13.26	0.0000379
13.28	-0.0000978
13.3	0.0000833
13.32	-0.0000529
13.34	0.00008
13.36	-0.0000272
13.38	0.0000541
13.4	-0.0000536
13.42	0.000046
13.44	-0.0000665
13.46	0.000073
13.48	-0.0000503
13.5	0.0000304
13.52	-0.0000322
13.54	0.0000506
13.56	-0.0000443
13.58	0.0000479
13.6	-0.0000686
13.62	0.0000965
13.64	-0.0000462
13.66	0.0000565
13.68	-0.0000996
13.7	0.0001101
13.72	-0.0000477
13.74	0.0000605
13.76	-0.0000858
13.78	0.0000504
13.8	-0.0000472
13.82	0.0000799
13.84	-0.000072
13.86	0.0000767
13.88	-0.0000571
13.9	0.0000162
13.92	-0.0000602
13.94	0.0000846
13.96	-0.0000846
13.98	0.0000752
14	-0.0000671
14.02	0.0000599
14.04	-0.000016
14.06	0.0000752
14.08	-0.0001075
14.1	0.0000533
14.12	-0.0000355
14.14	0.0000427
14.16	-0.0000599
14.18	0.0000724
14.2	-0.000103
14.22	0.0000943
14.24	-0.0000788
14.26	0.0000837
